gene_symbol,Lrrc71
parameter_id,CCP_XRY_004_001
analysis_id,15k76g4ncki170x
pvalue,0.6898114
gene_accession_id,MGI:1921735
mouse_life_stage,Early adult
parameter_name,Mandibles
mouse_strain,C57BL
