parameter_name,Iris transilumination
gene_symbol,Pdik1l
pvalue,0.3938943
analysis_id,1079t3g1h23d64a
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2385213
parameter_id,IMPC_EYE_082_001
