parameter_id,JAX_LDT_002_001
gene_symbol,Unc5c
parameter_name,Light side time spent
mouse_life_stage,Middle aged adult
pvalue,0.803952
gene_accession_id,MGI:1095412
mouse_strain,C57BL
analysis_id,055v2d9ae4ois7x
