parameter_name,Spleen weight
gene_symbol,Rbl1
mouse_life_stage,Early adult
analysis_id,05922217utd5h0m
pvalue,0.9466426
gene_accession_id,MGI:103300
mouse_strain,C57BL
parameter_id,UCD_OWT_003_001
