gene_symbol,Rftn2
mouse_strain,C57BL
analysis_id,076f05296k85ala
parameter_id,IMPC_XRY_057_001
pvalue,0.3223051
mouse_life_stage,Early adult
parameter_name,Kyphosis
gene_accession_id,MGI:1921263
