mouse_life_stage,Early adult
gene_symbol,Poglut2
pvalue,0.1791136
mouse_strain,C57BL
parameter_name,Forelimb grip strength measurement mean
parameter_id,IMPC_GRS_008_001
gene_accession_id,MGI:1919300
analysis_id,1fc9kq5xhc93baa
