parameter_id,IMPC_ECH_018_001
gene_symbol,Rpusd2
gene_accession_id,MGI:1918066
analysis_id,11f5en48jb5d69x
mouse_strain,C57BL
parameter_name,Respiration Rate
pvalue,0.1137948
mouse_life_stage,Early adult
