gene_symbol,Chtop
mouse_life_stage,Early adult
parameter_id,MGP_IMM_093_001
parameter_name,Resting CD4- NKT cells - % of CD45+
pvalue,0.4812267
analysis_id,2816lgvj062a55a
gene_accession_id,MGI:1913761
mouse_strain,C57BL
