mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,05148743bn1j97x
gene_accession_id,MGI:1924232
parameter_id,IMPC_DXA_009_001
pvalue,0.9655122
parameter_name,Fat/Body weight
gene_symbol,Vxn
