analysis_id,1495n015640jtim
pvalue,0.2760842
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Vitreous
gene_accession_id,MGI:1916330
gene_symbol,Gmppa
parameter_id,UCDLA_EYE_083_001
