pvalue,0.7419745
gene_accession_id,MGI:106925
mouse_life_stage,Middle aged adult
mouse_strain,C59BL
parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Cldn11
analysis_id,0h5034rmj1fi65m
parameter_id,IMPC_EYE_026_001
