pvalue,0.3106878
analysis_id,20ffm8zf85515pa
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,KMPCLA_GRS_011_001
gene_accession_id,MGI:2139018
mouse_life_stage,Early adult
gene_symbol,Olah
