gene_symbol,Ambra1
gene_accession_id,MGI:2443564
pvalue,0.8852809
mouse_strain,C57BL
parameter_name,Shape of vertebrae
parameter_id,CCP_XRY_018_001
mouse_life_stage,Early adult
analysis_id,08ck7ev3117163x
