parameter_name,Left retina pigmentation
analysis_id,07s9vgm4906675m
pvalue,0.6957086
mouse_life_stage,Early adult
gene_symbol,Sdc4
parameter_id,ESLIM_013_001_004
mouse_strain,C57BL
gene_accession_id,MGI:1349164
