parameter_name,Left total retinal thickness
analysis_id,0cn36325vpb3f5a
gene_symbol,Bltp1
gene_accession_id,MGI:2444631
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_068_001
pvalue,0.4669386
