gene_accession_id,MGI:3617846
gene_symbol,Ankrd34a
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_007
pvalue,0.9138568
parameter_name,Transfer arousal
analysis_id,1t5v881w9y0935a
