analysis_id,16334f1sewg2tex
parameter_name,Glucose
gene_symbol,Ube2c
mouse_life_stage,E12.5
pvalue,0.08509226
gene_accession_id,MGI:1915862
parameter_id,IMPC_CBC_018_001
mouse_strain,C57BL
