gene_accession_id,MGI:1309469
gene_symbol,Casq2
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,IMPC_CBC_010_001
pvalue,0.6057513
parameter_name,Phosphorus
analysis_id,074c04mnawg160a
