pvalue,0.3427935
gene_symbol,Gm12695
mouse_life_stage,Early adult
parameter_name,Retina (combined)
analysis_id,15oz83376t5176a
mouse_strain,C57BL
gene_accession_id,MGI:3650206
parameter_id,IMPC_EYE_092_002
