mouse_life_stage,E12.5
parameter_id,IMPC_IMM_011_002
pvalue,0.511238
mouse_strain,C57BL
analysis_id,062a42w299j55jx
parameter_name,CD4+ NKT cells - % of live leukocytes (Panel A)
gene_accession_id,MGI:1914454
gene_symbol,Eif2s2
