"gene_accession_id","gene_symbol"
NA,"Adgrb3"
"MGI:2387617","Obp2a"
"MGI:1924256","Ddrgk1"
NA,"Tmem9"
NA,"Thsd7b"
"MGI:1913721","Anp32e"
NA,"Dph6"
NA,"Coq3"
"MGI:1916413","Mrpl44"
NA,"Depdc1a"
NA,"Fam83d"
"MGI:3590554",NA
"MGI:2138198","D630023f18rik"
NA,"Usp21"
"MGI:98386","Sptan1"
NA,"Cst3"
NA,"Pigc"
NA,"Usp20"
NA,"Trim59"
"MGI:2151053","Serpinb7"
"MGI:97803","Ptma"
"MGI:2444681","Hhat"
"MGI:1919051","Plekhf2"
"MGI:98397","Src"
"MGI:1096385","Bcan"
NA,"D630023f18rik"
NA,"Srp9"
"MGI:1916330",NA
"MGI:1921263","Rftn2"
"MGI:109424","Abca4"
NA,"Lrrc71"
"MGI:2441837","Adgrb3"
NA,"Cryge"
NA,"Hspa12b"
"MGI:2443805","Bnc2"
"MGI:1278321","Epc2"
"MGI:1098604",NA
"MGI:1924933","Ehmt1"
NA,"Tmem79"
"MGI:2385213","Pdik1l"
NA,"Mob4"
"MGI:1914199",NA
"MGI:1920199",NA
NA,"Eloa"
NA,"Tmem62"
"MGI:1913746",NA
"MGI:1917770","Glipr2"
"MGI:2443925","Thsd7b"
NA,"Snorc"
"MGI:2442177","Pced1a"
NA,"Synpo2"
"MGI:1927580","Bloc1s6"
NA,"Ppdpf"
NA,"Col4a3"
"MGI:2139461","Tmem62"
"MGI:1914210","Mindy3"
NA,"Atp6v0b"
"MGI:1915282","Emc4"
"MGI:97324","Nhlh2"
NA,"Aplnr"
"MGI:106637",NA
"MGI:1925835","Jade1"
NA,"Cimip1"
"MGI:1919880",NA
NA,"Fam209"
"MGI:1350926","Etv3"
NA,"Slc25a44"
"MGI:1890510","Atp6v0b"
NA,"Spc25"
"MGI:1918142","Ttll7"
NA,"Gm5148"
NA,"Cpb1"
NA,"Tox2"
"MGI:1347355","Slc7a11"
"MGI:102844","Mybpc3"
"MGI:1921520","Usp20"
"MGI:1343489","Mpdz"
NA,"Src"
NA,"Sdc4"
"MGI:2681832","Cspp1"
"MGI:2444391",NA
"MGI:2387617",NA
"MGI:99218","Cdh4"
"MGI:1924232","Vxn"
"MGI:1914210",NA
"MGI:1923073","Fam227b"
NA,"Ppp3r2"
NA,"Epc2"
"MGI:2158201","Acot8"
"MGI:2442792",NA
"MGI:1924817","Tram2"
"MGI:97803",NA
NA,"Olah"
"MGI:1915862",NA
"MGI:2681832",NA
"MGI:1916732","Nup35"
"MGI:2140259","Zmynd12"
"MGI:96429","Ifi204"
NA,"Firrm"
"MGI:1913423",NA
"MGI:104899","Mob4"
NA,"Sox18"
"MGI:1891410","Pacsin3"
"MGI:1913692",NA
NA,"Cdh20"
"MGI:106925",NA
"MGI:104793",NA
"MGI:1913420","Chchd5"
"MGI:1917120",NA
"MGI:3588216","Ube2u"
NA,"Plekhf2"
NA,"Ntrk1"
NA,"Nup35"
"MGI:1915643",NA
NA,"Lrsam1"
NA,"Zbtb43"
NA,"Rbl1"
NA,"Bnc2"
"MGI:2684896",NA
NA,"Slc44a1"
NA,"Hsfy2"
NA,"Tpx2"
NA,"Ctss"
"MGI:1927241",NA
"MGI:101813",NA
"MGI:1918316","Hsfy2"
NA,"Csf3r"
NA,"Slc7a11"
"MGI:1919369",NA
NA,"Skint7"
"MGI:1350930",NA
"MGI:1332243","Ugcg"
NA,"Mindy3"
"MGI:1341898","Nmur1"
NA,"Crb2"
"MGI:2448514","R3hdm1"
NA,"Ddrgk1"
"MGI:1096385",NA
"MGI:97898","Ren1"
NA,"Fam163b"
"MGI:1931054","Slc43a3"
NA,"Lrat"
NA,"Mgat4f"
NA,"Ugcg"
"MGI:1924256",NA
"MGI:1914542","Pigc"
"MGI:2140050",NA
"MGI:2444508",NA
"MGI:1346086","Aplnr"
"MGI:1923676","Fam209"
"MGI:1916022","Smpdl3b"
NA,"Ugt1a2"
NA,"Mpped2"
"MGI:1924265","Mpped2"
"MGI:3606212","Rbbp8nl"
"MGI:1924265",NA
"MGI:1309469","Casq2"
"MGI:3588202",NA
"MGI:1919163","Tmem79"
NA,"Garin4"
"MGI:1931071","Sec61a2"
"MGI:88015",NA
"MGI:3646006",NA
NA,"Runx1t1"
"MGI:1913761",NA
"MGI:1339968","Cth"
NA,"Jade1"
"MGI:1916987",NA
"MGI:1922423","Tex38"
"MGI:98386",NA
"MGI:107341","Ctss"
"MGI:3617846","Ankrd34a"
"MGI:88015","Ampd1"
"MGI:1923304",NA
"MGI:104559","Rcn1"
"MGI:3590554","Firrm"
"MGI:1919084","Zbtb43"
"MGI:1926106","Fam163b"
"MGI:99218",NA
NA,"Phf24"
"MGI:101813","Coq3"
"MGI:1891259","Lrat"
"MGI:1916413",NA
NA,"Aco1"
NA,"Acadm"
"MGI:1924467","Rspo4"
NA,"Rpusd2"
"MGI:1332243",NA
NA,"Spred1"
"MGI:2140259",NA
NA,"Emc4"
NA,"Bloc1s6"
"MGI:2442704","Frrs1l"
"MGI:1922828","Fggy"
"MGI:3041190","Skint7"
"MGI:2150016","Spred1"
"MGI:104688","Col4a3"
"MGI:1922828",NA
"MGI:1917120","Polr3gl"
NA,"Gm12695"
"MGI:1918066",NA
"MGI:1915247",NA
"MGI:1915599",NA
"MGI:1924486","Sccpdh"
"MGI:1353435",NA
NA,"Cdh7"
"MGI:107191",NA
"MGI:1095412",NA
"MGI:1922387",NA
"MGI:2444824","Sirpb1a"
"MGI:2442792","Cdh7"
NA,"Rbbp8nl"
"MGI:2684789","Lrsam1"
NA,"Rcn1"
"MGI:1931071",NA
"MGI:1923953",NA
"MGI:1923381","Depdc1a"
"MGI:2444274",NA
"MGI:1921263",NA
"MGI:2676312",NA
"MGI:3617846",NA
"MGI:1922776",NA
"MGI:1339968",NA
"MGI:1921520",NA
"MGI:3649135","Gm7694"
"MGI:1860511","Heyl"
"MGI:1921735",NA
"MGI:1918142",NA
"MGI:87853","A"
"MGI:2684896","Maneal"
"MGI:1919084",NA
NA,"Slc43a3"
NA,"Slc24a5"
"MGI:1922423",NA
NA,"Dpy19l4"
"MGI:87853",NA
"MGI:104559",NA
"MGI:1351315",NA
"MGI:105383","Il18r1"
"MGI:2679260",NA
"MGI:3576049","Ugt1a2"
"MGI:101784",NA
"MGI:2138198",NA
"MGI:88525","Cryge"
"MGI:1913746","Ppdpf"
"MGI:2140712",NA
"MGI:1914542",NA
"MGI:2654325",NA
"MGI:1916428",NA
"MGI:1914454",NA
"MGI:1923676",NA
"MGI:1913882","Dph6"
"MGI:2443925",NA
"MGI:1278321",NA
"MGI:2685260",NA
"MGI:1341907",NA
"MGI:1921722","Stpg3"
"MGI:2140361",NA
"MGI:1915282",NA
NA,"Prpf6"
"MGI:104899",NA
"MGI:1347355",NA
"MGI:88525",NA
"MGI:2445096",NA
"MGI:95777",NA
"MGI:97850","Raly"
"MGI:1346069",NA
"MGI:1924933",NA
"MGI:109424",NA
"MGI:1924955",NA
"MGI:1346086",NA
"MGI:3650206",NA
"MGI:95281",NA
"MGI:1913420",NA
"MGI:2684789",NA
"MGI:107363",NA
"MGI:1916022",NA
"MGI:1923381",NA
"MGI:108429",NA
"MGI:1859866",NA
"MGI:3588216",NA
"MGI:104688",NA
"MGI:102519",NA
"MGI:2679420",NA
"MGI:1927753",NA
"MGI:1927580",NA
"MGI:1920484",NA
"MGI:1337072",NA
"MGI:3041190",NA
"MGI:1309469",NA
"MGI:1924467",NA
"MGI:1343489",NA
"MGI:1924817",NA
"MGI:104294",NA
"MGI:1919128",NA
"MGI:2677271",NA
"MGI:104708",NA
"MGI:1913882",NA
"MGI:1201673",NA
"MGI:1339755",NA
"MGI:87867",NA
"MGI:1341898",NA
"MGI:1913790",NA
"MGI:1931054",NA
"MGI:3606212",NA
"MGI:1913491",NA
"MGI:107171",NA
"MGI:107341",NA
"MGI:3045320",NA
"MGI:3611233",NA
"MGI:1926106",NA
"MGI:1346342",NA
"MGI:2139461",NA
"MGI:2139018",NA
"MGI:103559",NA
"MGI:1860511",NA
"MGI:2150016",NA
"MGI:1919471",NA
"MGI:2442704",NA
"MGI:2444681",NA
"MGI:3611450",NA
"MGI:2685869",NA
"MGI:1350926",NA
"MGI:1924486",NA
"MGI:101770",NA
"MGI:2151053",NA
"MGI:2443805",NA
"MGI:107674",NA
"MGI:2140592",NA
"MGI:3649135",NA
"MGI:97850",NA
"MGI:1921722",NA
"MGI:103300",NA
"MGI:97324",NA
"MGI:1919300",NA
"MGI:2442177",NA
"MGI:2154090",NA
"MGI:2158201",NA
"MGI:1918316",NA
"MGI:97383",NA
"MGI:102844",NA
"MGI:97898",NA
"MGI:2135283",NA
"MGI:1919163",NA
"MGI:2448514",NA
"MGI:1922946",NA
"MGI:1925835",NA
"MGI:3576049",NA
"MGI:87879",NA
"MGI:1913721",NA
"MGI:96429",NA
"MGI:2153070",NA
"MGI:1917770",NA
"MGI:2443100",NA
"MGI:1921607",NA
"MGI:2444824",NA
"MGI:104516",NA
