"parameter_id","group_id"
"IMPC_GEP_016_001",1
"IMPC_GEP_016_001",7
"IMPC_GEP_017_001",7
"IMPC_GEP_021_001",7
"IMPC_GEP_022_001",1
"IMPC_GEP_022_001",7
"IMPC_GEP_022_001",9
"IMPC_GEP_023_001",1
"IMPC_GEP_023_001",9
"IMPC_GEP_024_001",7
"IMPC_GEP_025_001",8
"IMPC_GEP_026_001",8
"IMPC_GEP_027_001",7
"IMPC_GEP_027_001",8
"IMPC_GEP_028_001",6
"IMPC_GEP_033_001",7
"IMPC_GEP_034_001",8
"IMPC_GEP_036_001",5
"IMPC_GEP_037_001",7
"IMPC_GEP_038_001",7
"IMPC_GEP_041_001",7
"IMPC_GEP_042_001",1
"IMPC_GEP_042_001",7
"IMPC_GEP_044_001",4
"IMPC_GEP_044_001",7
"IMPC_GEP_046_001",3
"IMPC_GEP_046_001",7
"IMPC_GEP_051_001",11
"IMPC_GEP_053_001",7
"IMPC_GEP_054_001",7
"IMPC_GEP_056_001",5
"IMPC_GEP_057_001",5
"IMPC_GEP_057_001",7
"IMPC_GEP_058_001",1
"IMPC_GEP_058_001",5
"IMPC_GEP_058_001",7
"IMPC_GEP_063_001",2
"IMPC_GEP_064_001",2
"IMPC_GEP_065_001",11
"IMPC_GEP_066_001",11
"IMPC_GEP_067_001",11
"IMPC_GEP_068_001",11
"IMPC_GEP_074_001",4
"IMPC_GEP_005_002",3
"IMPC_GEP_018_002",7
"IMPC_GEP_019_002",7
"IMPC_GEP_030_002",7
"IMPC_GEP_047_002",3
"IMPC_GEP_048_002",3
"IMPC_GEP_049_002",11
"IMPC_GEP_061_002",5
"IMPC_GEP_061_002",11
"IMPC_GEP_075_001",7
"IMPC_EMA_001_001",9
"IMPC_EMA_002_001",11
"IMPC_EMA_003_001",11
"IMPC_EMA_004_001",11
"IMPC_EMA_005_001",11
"IMPC_EMA_007_001",1
"IMPC_EMA_007_001",2
"IMPC_EMA_007_001",7
"IMPC_EMA_008_001",11
"IMPC_EMA_009_001",4
"IMPC_EMA_012_001",2
"IMPC_EMA_017_001",2
"IMPC_EMA_018_001",7
"IMPC_EMA_020_001",7
"IMPC_EMA_023_001",7
"IMPC_EMA_024_001",1
"IMPC_EMA_024_001",7
"IMPC_EMA_024_001",9
"IMPC_EMA_025_001",3
"IMPC_EMA_027_001",7
"IMPC_EMA_028_001",3
"IMPC_EMA_028_001",11
"IMPC_EMA_029_001",3
"IMPC_EMA_029_001",11
"IMPC_EMA_030_001",3
"IMPC_EMA_030_001",11
"IMPC_EMA_031_001",3
"IMPC_EMA_032_001",3
"IMPC_EMA_033_001",3
"IMPC_EMA_034_001",3
"IMPC_EMA_035_001",3
"IMPC_EMA_036_001",3
"IMPC_EMA_038_001",3
"IMPC_EMA_039_001",3
"IMPC_EMA_040_001",3
"IMPC_EMA_041_001",3
"IMPC_EMA_041_001",11
"IMPC_EMA_042_001",3
"IMPC_EMA_042_001",11
"IMPC_EMA_043_001",3
"IMPC_EMA_044_001",3
"IMPC_EMA_046_001",3
"IMPC_EMA_047_001",3
"IMPC_EMA_048_001",3
"IMPC_EMA_049_001",3
"IMPC_EMA_050_001",3
"IMPC_EMA_051_001",3
"IMPC_EMA_055_001",11
"IMPC_EMA_059_001",3
"IMPC_EMA_059_001",5
"IMPC_EMA_060_001",5
"IMPC_EMA_061_001",11
"IMPC_EMA_062_001",5
"IMPC_EMA_063_001",5
"IMPC_EMA_064_001",5
"IMPC_EMA_064_001",11
"IMPC_EMA_065_001",1
"IMPC_EMA_068_001",11
"IMPC_EMA_073_001",1
"IMPC_EMA_073_001",11
"IMPC_EMA_074_001",11
"IMPC_EMA_076_001",1
"IMPC_EMA_078_001",11
"IMPC_EMA_083_001",11
"IMPC_EMA_084_001",11
"IMPC_EMA_086_001",4
"IMPC_EMA_086_001",11
"IMPC_EMA_094_001",4
"IMPC_EMA_095_001",4
"IMPC_EMA_096_001",4
"IMPC_EMA_098_001",4
"IMPC_EMA_100_001",4
"IMPC_EMA_101_001",4
"IMPC_EMA_102_001",4
"IMPC_EMA_102_001",8
"IMPC_EMA_103_001",3
"IMPC_EMA_103_001",4
"IMPC_EMA_103_001",8
"IMPC_EMA_104_001",4
"IMPC_EMA_104_001",11
"IMPC_EMA_105_001",4
"IMPC_EMA_111_001",3
"IMPC_EMA_112_001",3
"IMPC_EMA_112_001",11
"IMPC_EMA_113_001",3
"IMPC_EMA_114_001",3
"IMPC_EMA_116_001",4
"IMPC_EMA_117_001",8
"IMPC_EMA_119_001",3
"IMPC_EMA_120_001",3
"IMPC_EMA_121_001",3
"IMPC_EMA_131_001",11
"IMPC_EMA_137_001",11
"IMPC_EMA_142_001",9
"IMPC_EMA_146_001",11
"IMPC_EMA_147_001",7
"IMPC_EMA_148_001",7
"IMPC_EMA_148_001",9
"IMPC_EMA_149_001",11
"IMPC_ACS_001_001",3
"IMPC_ACS_001_001",8
"IMPC_ACS_002_001",3
"IMPC_ACS_002_001",8
"IMPC_ACS_003_001",3
"IMPC_ACS_003_001",8
"IMPC_ACS_004_001",3
"IMPC_ACS_004_001",8
"IMPC_ACS_005_001",3
"IMPC_ACS_005_001",8
"IMPC_ACS_006_001",3
"IMPC_ACS_006_001",8
"IMPC_ACS_007_001",3
"IMPC_ACS_007_001",8
"IMPC_ACS_008_001",3
"IMPC_ACS_008_001",8
"IMPC_ACS_009_001",3
"IMPC_ACS_009_001",8
"IMPC_ACS_010_001",3
"IMPC_ACS_010_001",8
"IMPC_ACS_014_001",11
"IMPC_ACS_015_001",8
"IMPC_ACS_017_001",4
"IMPC_ACS_017_001",8
"IMPC_ACS_018_001",4
"IMPC_ACS_018_001",8
"IMPC_ACS_019_001",4
"IMPC_ACS_019_001",8
"IMPC_ACS_020_001",4
"IMPC_ACS_020_001",8
"IMPC_ACS_024_001",8
"IMPC_ACS_025_001",11
"IMPC_ACS_026_001",11
"IMPC_ACS_027_001",11
"IMPC_ACS_028_001",11
"IMPC_ACS_031_001",8
"IMPC_ACS_031_001",11
"IMPC_ACS_032_001",8
"IMPC_ACS_033_001",4
"IMPC_ACS_034_001",4
"IMPC_ACS_035_001",4
"IMPC_ACS_036_001",4
"IMPC_ACS_037_001",4
"IMPC_ACS_038_001",4
"IMPC_ACS_013_001",8
"IMPC_ACS_039_001",8
"IMPC_ACS_039_001",11
"IMPC_ECG_002_001",4
"IMPC_ECG_010_001",4
"IMPC_ECG_016_001",11
"IMPC_ECG_017_001",11
"IMPC_ECG_018_001",11
"IMPC_ECG_019_001",10
"IMPC_ECG_020_001",11
"IMPC_ECG_023_001",4
"IMPC_ECG_009_002",4
"IMPC_ECG_025_001",2
"IMPC_ECG_025_001",8
"IMPC_ECG_026_001",2
"IMPC_ECG_026_001",8
"IMPC_ECG_028_001",4
"IMPC_ECG_029_001",4
"IMPC_ECG_030_001",4
"IMPC_ECG_031_001",4
"IMPC_PAT_001_002",3
"IMPC_PAT_002_002",3
"IMPC_PAT_002_002",5
"IMPC_PAT_003_002",3
"IMPC_PAT_005_002",11
"IMPC_PAT_006_002",4
"IMPC_PAT_006_002",8
"IMPC_PAT_008_002",11
"IMPC_PAT_017_002",11
"IMPC_PAT_022_002",1
"IMPC_PAT_025_002",11
"IMPC_PAT_028_002",9
"IMPC_PAT_049_002",1
"IMPC_PAT_057_002",2
"IMPC_PAT_052_002",11
"IMPC_PAT_054_002",11
"IMPC_PAT_055_002",4
"IMPC_PAT_055_002",11
"IMPC_PAT_056_002",11
"IMPC_PAT_059_002",4
"IMPC_PAT_060_002",11
"IMPC_PAT_061_002",11
"IMPC_PAT_031_002",11
"IMPC_PAT_033_001",11
"IMPC_PAT_034_001",11
"IMPC_PAT_035_001",2
"IMPC_PAT_036_001",5
"IMPC_PAT_065_001",1
"IMPC_PAT_066_001",1
"IMPC_PAT_069_001",3
"IMPC_PAT_071_001",8
"IMPC_PAT_074_001",3
