"disease_id","gene_accession_id","phenodigm_score"
"ORPHA:98807","MGI:98967",21.24
"ORPHA:79136","MGI:98967",30.2
"ORPHA:309246","MGI:98967",26.25
"ORPHA:434179","MGI:98967",12.42
"ORPHA:363722","MGI:98967",18.1
"OMIM:219090","MGI:98967",12.67
"OMIM:300672","MGI:98967",17.51
"OMIM:602433","MGI:98967",25.89
"OMIM:300352","MGI:98967",28.69
"OMIM:213200","MGI:98967",14.47
"OMIM:619293","MGI:98967",17.6
"OMIM:619317","MGI:98967",21.62
"OMIM:271250","MGI:98967",45.8
"ORPHA:275864","MGI:98967",47.59
"ORPHA:276238","MGI:98967",13.88
"ORPHA:276241","MGI:98967",13.88
"ORPHA:276244","MGI:98967",15.71
"ORPHA:171680","MGI:98967",12.34
"ORPHA:329308","MGI:98967",15.67
"ORPHA:3306","MGI:98967",23.64
"OMIM:614831","MGI:98967",15.45
"OMIM:607625","MGI:98967",17.52
"OMIM:608631","MGI:98967",50.57
"OMIM:608636","MGI:98967",51.92
"OMIM:608638","MGI:98967",50.57
"OMIM:612020","MGI:98967",17.22
"OMIM:610042","MGI:98967",36.06
"OMIM:613886","MGI:98967",23.83
"OMIM:615873","MGI:98967",14.95
"OMIM:616341","MGI:98967",21.34
"OMIM:617830","MGI:98967",27.5
"OMIM:618004","MGI:98967",26.45
"OMIM:618067","MGI:98967",12.81
"OMIM:619621","MGI:98967",8.85
"OMIM:619777","MGI:98967",12.62
"OMIM:620033","MGI:98967",21.06
"OMIM:620208","MGI:98967",8.59
"ORPHA:464306","MGI:98967",15.1
"ORPHA:208441","MGI:98967",32.01
"ORPHA:240103","MGI:98967",15.13
"ORPHA:71518","MGI:98967",45.55
"ORPHA:363558","MGI:98967",4.99
"ORPHA:99027","MGI:98967",16.23
"OMIM:220220","MGI:98967",24.97
"OMIM:300912","MGI:98967",29.49
"OMIM:309548","MGI:98967",36.11
"OMIM:300271","MGI:98967",32.99
"OMIM:300425","MGI:98967",38.99
"OMIM:300495","MGI:98967",35.03
"OMIM:300496","MGI:98967",38.99
"ORPHA:261144","MGI:98967",22.11
"OMIM:212065","MGI:98967",8.84
"OMIM:212066","MGI:98967",22.76
"OMIM:619428","MGI:98967",15.19
"ORPHA:2822","MGI:98967",12.77
"OMIM:607459","MGI:98967",9.87
"OMIM:612474","MGI:98967",10.09
"OMIM:614104","MGI:98967",28.7
"OMIM:615502","MGI:98967",15.44
"OMIM:615516","MGI:98967",30.59
"OMIM:615541","MGI:98967",38.16
"OMIM:615637","MGI:98967",15.7
"OMIM:617330","MGI:98967",23.67
"OMIM:617600","MGI:98967",25.32
"OMIM:617270","MGI:98967",42.67
"OMIM:616682","MGI:98967",15.88
"OMIM:616939","MGI:98967",18.88
"OMIM:616269","MGI:98967",55.11
"OMIM:616351","MGI:98967",31.16
"OMIM:616393","MGI:98967",38.59
"OMIM:618914","MGI:98967",23.94
"OMIM:618504","MGI:98967",33.61
"OMIM:617751","MGI:98967",21.34
"OMIM:617751","MGI:98967",20.18
"OMIM:617796","MGI:98967",22.35
"OMIM:619229","MGI:98967",16.93
"ORPHA:177907","MGI:98967",12.91
"ORPHA:1170","MGI:98967",15.28
"ORPHA:139480","MGI:98967",17
"ORPHA:100924","MGI:98967",30.51
"ORPHA:100986","MGI:98967",24.99
"ORPHA:101085","MGI:98967",12.2
"OMIM:619717","MGI:98967",37.53
"ORPHA:544254","MGI:98967",35.86
"ORPHA:572798","MGI:98967",16.13
"ORPHA:447757","MGI:98967",17.13
"ORPHA:370959","MGI:98967",27.38
"ORPHA:251282","MGI:98967",30.66
"ORPHA:98784","MGI:98967",24.5
"ORPHA:79282","MGI:98967",16.71
"ORPHA:85277","MGI:98967",17.55
"ORPHA:70595","MGI:98967",20.04
"ORPHA:357058","MGI:98967",19.26
"OMIM:300614","MGI:98967",49.04
"ORPHA:261537","MGI:98967",10.33
"OMIM:619475","MGI:98967",18.08
"OMIM:619512","MGI:98967",15.86
"ORPHA:280763","MGI:98967",18.96
"OMIM:619054","MGI:98967",11.19
"OMIM:620786","MGI:98967",33.16
"OMIM:620065","MGI:98967",26.55
"OMIM:620141","MGI:98967",23.3
"ORPHA:457279","MGI:98967",23.27
"ORPHA:395","MGI:98967",16.44
"ORPHA:247815","MGI:98967",24.44
"ORPHA:86822","MGI:98967",16.52
"ORPHA:3077","MGI:98967",32.17
"ORPHA:3078","MGI:98967",23.55
"ORPHA:411511","MGI:98967",30.83
"ORPHA:436151","MGI:98967",47.48
"ORPHA:352490","MGI:98967",20.96
"ORPHA:353277","MGI:98967",14.97
"ORPHA:353281","MGI:98967",19.59
"ORPHA:353284","MGI:98967",14.97
"ORPHA:927","MGI:98967",22.24
"OMIM:300986","MGI:98967",21.79
"OMIM:301040","MGI:98967",13.76
"OMIM:309590","MGI:98967",14.23
"OMIM:256840","MGI:98967",15.73
"OMIM:300260","MGI:98967",28.27
"OMIM:300486","MGI:98967",31.32
"OMIM:606053","MGI:98967",46.53
"OMIM:619306","MGI:98967",14.51
"OMIM:614756","MGI:98967",26.01
"OMIM:600791","MGI:98967",42.61
"OMIM:600795","MGI:98967",40
"OMIM:615282","MGI:98967",20.65
"OMIM:615771","MGI:98967",10.03
"OMIM:617044","MGI:98967",26.42
"OMIM:617061","MGI:98967",20.63
"OMIM:617101","MGI:98967",34.26
"OMIM:618147","MGI:98967",35.85
"OMIM:618825","MGI:98967",23.94
"OMIM:618917","MGI:98967",31.99
"OMIM:618497","MGI:98967",31.42
"OMIM:617802","MGI:98967",26.16
"OMIM:617862","MGI:98967",29.96
"OMIM:619121","MGI:98967",24.76
"OMIM:619150","MGI:98967",41.73
"OMIM:620021","MGI:98967",34.02
"OMIM:620242","MGI:98967",24.91
"ORPHA:457240","MGI:98967",31.71
"ORPHA:466768","MGI:98967",15.9
"ORPHA:508533","MGI:98967",7.14
"ORPHA:513456","MGI:98967",21.87
"ORPHA:529965","MGI:98967",19.8
"ORPHA:370022","MGI:98967",13.05
"ORPHA:647799","MGI:98967",17.12
"ORPHA:313892","MGI:98967",18.92
"ORPHA:369837","MGI:98967",7.35
"ORPHA:261552","MGI:98967",9.07
"ORPHA:300570","MGI:98967",20.78
"OMIM:612069","MGI:98967",35.62
"OMIM:616579","MGI:98967",29.32
"OMIM:615802","MGI:98967",20.67
"OMIM:618718","MGI:98967",43.86
"OMIM:619005","MGI:98967",14.16
"OMIM:618430","MGI:98967",26.99
"OMIM:618653","MGI:98967",18.56
"OMIM:617787","MGI:98967",38.07
"OMIM:620719","MGI:98967",13.81
"OMIM:620747","MGI:98967",37.75
"OMIM:620502","MGI:98967",20.44
"OMIM:619522","MGI:98967",13.82
"OMIM:620330","MGI:98967",22.49
"ORPHA:445062","MGI:98967",29.66
"ORPHA:447997","MGI:98967",29.58
"ORPHA:449291","MGI:98967",39.6
"ORPHA:464311","MGI:98967",15.36
"ORPHA:468631","MGI:98967",12.38
"ORPHA:476126","MGI:98967",17.68
"ORPHA:508498","MGI:98967",8.57
"ORPHA:522077","MGI:98967",18.57
"OMIM:300749","MGI:98967",19.92
"OMIM:619470","MGI:98967",30.84
"OMIM:613443","MGI:98967",13.88
"OMIM:613443","MGI:98967",27.05
"OMIM:609136","MGI:98967",19.25
"OMIM:618342","MGI:98967",24.21
"OMIM:617903","MGI:98967",31.01
"OMIM:619092","MGI:98967",33.09
"OMIM:619103","MGI:98967",21.61
"OMIM:620494","MGI:98967",16.92
"OMIM:619575","MGI:98967",22.78
"OMIM:619725","MGI:98967",29.19
"OMIM:620073","MGI:98967",10.21
"ORPHA:391307","MGI:98967",33.01
"OMIM:301044","MGI:98967",11.83
"OMIM:617393","MGI:98967",27.21
"OMIM:618709","MGI:98967",31.9
"OMIM:617820","MGI:98967",34.04
"OMIM:620469","MGI:98967",42.01
"ORPHA:457351","MGI:98967",19.3
"ORPHA:397933","MGI:98967",43.05
"ORPHA:411986","MGI:98967",25.38
"OMIM:301066","MGI:98967",14.73
"OMIM:613670","MGI:98967",24.93
"OMIM:617807","MGI:98967",27.14
"OMIM:620428","MGI:98967",28.53
"OMIM:619580","MGI:98967",35.64
"OMIM:620292","MGI:98967",29.15
"ORPHA:572013","MGI:98967",16.96
"ORPHA:480880","MGI:98967",15.24
"ORPHA:496641","MGI:98967",17.71
"ORPHA:500159","MGI:98967",17.56
"OMIM:617171","MGI:98967",36.58
"OMIM:618906","MGI:98967",33
"OMIM:208400","MGI:96090",6.06
"OMIM:190330","MGI:98266",70.24
"OMIM:309300","MGI:98266",50.85
"OMIM:614156","MGI:1928271",46.62
"ORPHA:180229","MGI:96090",14.89
"ORPHA:14","MGI:1928271",14.61
"ORPHA:552","MGI:109279",40.04
"ORPHA:533","MGI:1928271",7.66
"ORPHA:3376","MGI:1928271",9.51
"ORPHA:349","MGI:1928271",10.97
"ORPHA:2477","MGI:96090",18.96
"ORPHA:95512","MGI:109279",25.14
"ORPHA:95513","MGI:109279",25.46
"ORPHA:97283","MGI:1928271",14.93
"ORPHA:93","MGI:96090",6.23
"OMIM:250100","MGI:1928271",16.88
"OMIM:230200","MGI:98266",45.07
"OMIM:145750","MGI:109279",42.58
"OMIM:223370","MGI:1928271",5.16
"OMIM:149500","MGI:98266",63.52
"OMIM:106210","MGI:98266",30.37
"OMIM:114290","MGI:3665157",3.79
"OMIM:115660","MGI:98266",58.71
"OMIM:115800","MGI:98266",97.86
"OMIM:115900","MGI:98266",66.5
"OMIM:116400","MGI:98266",64.95
"OMIM:302200","MGI:98266",55.55
"OMIM:310600","MGI:98266",33.4
"OMIM:262300","MGI:98266",25.59
"OMIM:255990","MGI:98266",45.09
"OMIM:601552","MGI:98266",23.99
"OMIM:177650","MGI:98266",58.54
"OMIM:603165","MGI:98266",24.13
"ORPHA:261318","MGI:96090",5.56
"OMIM:211770","MGI:98266",49.85
"OMIM:619290","MGI:109279",53.15
"OMIM:619324","MGI:1928271",57.48
"OMIM:273150","MGI:96090",57.56
"ORPHA:2663","MGI:98266",50.09
"ORPHA:170","MGI:98266",24.97
"ORPHA:325124","MGI:96090",48.73
"OMIM:614691","MGI:98266",96.43
"OMIM:612651","MGI:3665157",10.59
"OMIM:612713","MGI:98266",29.57
"OMIM:609376","MGI:98266",97.86
"OMIM:610019","MGI:98266",64.95
"OMIM:612018","MGI:98266",67.12
"OMIM:612109","MGI:98266",25.64
"OMIM:601202","MGI:98266",54.16
"OMIM:615363","MGI:109279",37.62
"OMIM:614303","MGI:98266",50.21
"OMIM:614422","MGI:98266",96.43
"OMIM:613887","MGI:98266",97.86
"OMIM:617141","MGI:98266",57.37
"OMIM:617142","MGI:98266",49.27
"OMIM:616851","MGI:98266",96.43
"OMIM:616217","MGI:1928271",43.58
"OMIM:616279","MGI:98266",63.52
"OMIM:616509","MGI:98266",76.95
"OMIM:618881","MGI:98266",49.6
"OMIM:618415","MGI:98266",37.1
"ORPHA:1501","MGI:109279",37.66
"ORPHA:1766","MGI:98266",27.57
"ORPHA:190","MGI:98266",42.27
"ORPHA:1359","MGI:96090",18.41
"ORPHA:139466","MGI:3665157",24.23
"OMIM:619593","MGI:98266",44.99
"ORPHA:3385","MGI:109279",8.42
"ORPHA:2075","MGI:1928271",10.96
"ORPHA:250923","MGI:98266",47.37
"ORPHA:2331","MGI:1928271",7.3
"ORPHA:94083","MGI:96090",24.28
"ORPHA:79500","MGI:109279",5.61
"ORPHA:744","MGI:96090",4.58
"ORPHA:75858","MGI:98266",25.34
"ORPHA:778","MGI:1928271",7.72
"ORPHA:781","MGI:1928271",10.14
"ORPHA:96253","MGI:109279",18.93
"ORPHA:79324","MGI:1928271",6.25
"ORPHA:85138","MGI:109279",20.37
"ORPHA:31150","MGI:1928271",17.24
"ORPHA:90041","MGI:1928271",6.28
"ORPHA:439254","MGI:98266",27.72
"ORPHA:67043","MGI:98266",48.59
"ORPHA:708","MGI:98266",53.39
"ORPHA:91","MGI:96090",18.65
"ORPHA:91355","MGI:109279",21.88
"OMIM:246700","MGI:1928271",35.73
"OMIM:136520","MGI:98266",51.27
"OMIM:217700","MGI:98266",58.83
"OMIM:236680","MGI:109279",9.7
"OMIM:237500","MGI:1928271",53.6
"OMIM:240950","MGI:98266",39.67
"OMIM:244450","MGI:1928271",5.53
"OMIM:201400","MGI:109279",56.43
"OMIM:202200","MGI:109279",38.52
"OMIM:121800","MGI:98266",68.48
"OMIM:131430","MGI:1345961",42.29
"OMIM:304730","MGI:98266",65.83
"OMIM:300624","MGI:96090",16.42
"OMIM:300200","MGI:109279",35.55
"OMIM:300602","MGI:96090",10.44
"OMIM:180104","MGI:98266",29.92
"OMIM:607398","MGI:109279",29.93
"ORPHA:263479","MGI:98266",27.17
"OMIM:210500","MGI:1928271",50.49
"OMIM:273395","MGI:109279",12.85
"ORPHA:291","MGI:98266",33.96
"ORPHA:280","MGI:1928271",3.18
"ORPHA:284180","MGI:96090",9.78
"ORPHA:2869","MGI:1928271",10.24
"OMIM:609197","MGI:109279",56.57
"OMIM:611465","MGI:1928271",70.16
"OMIM:610092","MGI:98266",64.19
"OMIM:610883","MGI:1928271",8.75
"OMIM:600803","MGI:1928271",60.64
"OMIM:615184","MGI:98266",31.9
"OMIM:614338","MGI:1928271",52.19
"OMIM:613801","MGI:98266",38.03
"OMIM:615512","MGI:1928271",14.05
"OMIM:615558","MGI:1928271",40.09
"OMIM:615619","MGI:1928271",76.76
"OMIM:617394","MGI:1928271",46.51
"OMIM:615935","MGI:109279",44.42
"OMIM:618156","MGI:1928271",13.47
"OMIM:618220","MGI:98266",28.06
"OMIM:616468","MGI:98266",24.13
"OMIM:618463","MGI:98266",50.46
"OMIM:617825","MGI:109279",46.43
"OMIM:619016","MGI:98266",24.53
"ORPHA:1885","MGI:98266",34.81
"ORPHA:1193","MGI:96090",15.75
"ORPHA:1304","MGI:1345961",26.16
"ORPHA:131","MGI:1928271",26.11
"ORPHA:1377","MGI:98266",62.51
"ORPHA:139474","MGI:96090",16.58
"ORPHA:14","MGI:87868",9.31
"ORPHA:100086","MGI:1928271",27.37
"ORPHA:562","MGI:96090",18.43
"ORPHA:570422","MGI:98266",26.15
"ORPHA:3449","MGI:98266",23.73
"ORPHA:606","MGI:98266",62.42
"ORPHA:2334","MGI:98266",42.26
"ORPHA:95409","MGI:109279",18.76
"ORPHA:8","MGI:96090",17.27
"ORPHA:776","MGI:96090",9.46
"ORPHA:983","MGI:96090",57.08
"ORPHA:320","MGI:109279",17.24
"ORPHA:887","MGI:1928271",6.25
"ORPHA:438274","MGI:1928271",39.27
